id,1,2,3,4
1100216002799915010,TrueToAtlanta,Rockets,,
1087144444166635523,BlewDAT,,,
1096996991966560257,MyBrotha,,,
1099072340032290816,FridayFeeling,,,
1101659372651012097,Nets,,,
1099336830128979968,Blessed,,,
1093346974609408000,Nets,Nets,,
1098721480941154307,NEBHInjuryReport,,,
1102282072918499328,NEBHInjuryReport,,,
1100550350560522241,10BeforeTip,,,
1100197561409945606,Hornets30,DubNation,,
1101437025352327168,HillbillyHeadlines,,,
938202939054751745,BuzzCity,,,
1099488429899956224,Bulls,,,
1099517838065389569,66pointswing,,,
1096052864261255168,Bulls,,,
1081752367505248256,Cavs,,,
1093511035166867456,NBATradeDeadline,,,
1044292153869037570,Cavs,,,
1091025038055075840,Cavs,,,
1097339433421103104,MFFL,,,
1099072813145706496,MavsAR,,,
1095866291246850048,Mavs,,,
1094319305905324032,wessywes,,,
1100674527896502272,MileHighBasketball,PlayersOnly,,
1091467151557324800,MileHighBasketball,,,
1083002969690394625,Nuggets,,,
1100957265119588352,Nuggets,Warriors,,
1094054180518531072,Nuggets,Sixers,,
1099524677972705282,PlayoffPush,Pistons,,
1100120935598833664,Pistons,,,
1100592454682796033,PureMagic,NewYorkForever,,
1099664900723560448,Pistons,,,
1098823675543867392,SPLASH,,,
1098852960753217536,JREAM,,,
1099500255081459714,Rockets,,,
1100140465339461632,Rockets,TXSN,,
1100140465339461632,Rockets,TXSN,,
1086797245112963073,GameTime,,,
1099134470140112897,PacersWin,,,
1097310856503808001,Nbaallstars,,,
1090039315621703681,Together4Vic,,,
1099810107481743361,PrimeTicket,,,
1097197716726263808,NBAAllStar,,,
1100212899400708096,LakeShow,,,
1101001678944272385,LakeShow,,,
1048091098206232577,YoungDripKing,,,
1099035969380990976,Lakers,Rockets,,
1099292792906379264,GrindCityRewind,,,
1093220371472502784,blackhistorymonth,,,
1099173504828796928,PyeongChang2018,,,
1057630372509478912,Wizards,,,
1082702383686303744,TankEmDown901,,,
1099504759659249664,DETvsMIA,,,
1095330802361982978,Marlins,,,
1101024843623915520,FearTheDeer,,,
1101864458937262085,Bucks,,,
1072193487087550469,mubb,,,
1099158570820661249,godisgood,thankful,,
1099158570820661249,godisgood,thankful,,
1099143684728279040,TWolves,,,
1100186335846060032,Pelicans,,,
1099123586990829568,Pelicans,,,
938235179721732096,Pelicans,,,
1096240745990770688,W,,,
1096435468131020801,NBAAllStar,Knicks,,
1092929745044557824,Pistons,,,
1097318118546960385,PaulGeorge,NBAAllStar,,
1097317924010897408,ThunderUp,,,
1094266547579899904,GonadFactor,,,
1096104945957273601,ValentinesDay,,,
1095497323524775941,Magic,Pelicans,,
1099100419064778752,SCtop10,,,
1098771504844681216,HereTheyCome,,,
1099268638153080832,NBA,DailyStandingsFlow,,
816300838218006528,NBAVote,,,
1094033760931250176,sixers,,,
1099475684156534786,TimeToRise,,,
1097956719848636417,Suns,,,
959638292969828352,dudleydoright,jareddudley,mbteesclothes,youngentrepreneur
1098630699869966337,Suns,,,
1100073472615763969,RipCity,,,
1074031035967365120,RipCity,,,
1098299002221723649,GoSpursGo,,,
1101545106669105152,GoSpursGo,NBA,,
1101936183817453571,Spurs,,,
1100218627771514880,GoSpursGo,,,
1099501706210168832,BlockBoy,,,
1100564149673779200,Puig,,,
1094749715038494720,SacramentoPROUD,,,
1099125239248756736,NBABHM,NBAVoices,,
1101635702398300162,WeTheNorth,,,
1099156920105979904,SASatTOR,,,
1096554800823574530,ThisIsWhyWePlay,FoodBank,,
1100927816361746432,JazzPreview,,,
1099433207047643136,WizPacers,DCFamily,,
1098375935726927872,Wizards,,,
1097365484645826560,TeamLeBron,BradleyBeal,NBAAllStar,
1099489192319639552,Feetwork,,,
